date,total signals,correct signals,wrong signals,accuracy %,best market,worst market,best signal type,weakest signal type
2026-06-11,0,0,0,0.0,,,,
2026-06-12,8,2,6,25.0,BTC,Copper,SELL,WAIT
2026-06-13,8,5,3,62.5,Copper,BTC,BUY,WAIT
2026-06-14,8,5,3,62.5,DXY,BTC,WAIT,BUY
2026-06-15,0,0,0,0.0,,,,
2026-06-16,16,7,9,43.75,DXY,BTC,SELL,BUY
2026-06-17,8,5,3,62.5,Copper,BTC,BUY,SELL
